subject,window_start_ms,window_end_ms,label,hr_mean,hr_std,hr_min,hr_max,hr_delta_abs,rmssd,pnn50,motion_mean,motion_std,temp_mean,temp_spread
1,492488,521325,0,98.53846153846153,1.598816130063579,95.0,100.0,1.0,1.1902380714238083,0.0,0.05045378829104122,0.06316668591435513,0.0,0.0
1,504325,541325,0,97.33333333333333,1.5986105077709065,95.0,100.0,2.0,1.6733200530681511,0.0,0.0801809407479356,0.06752121681719216,0.0,0.0
1,521325,553325,0,96.33333333333333,2.054804667656325,94.0,100.0,6.0,1.4142135623730951,0.0,0.05365670260958249,0.07733001875458632,0.0,0.0
1,521325,554325,0,95.85714285714286,2.2314999074019015,93.0,100.0,7.0,1.35400640077266,0.0,0.061124264515010907,0.07389345514956659,0.0,0.0
1,541325,554325,0,95.16666666666667,1.5723301886761003,93.0,98.0,5.0,1.1832159566199232,0.0,0.034427421124404285,0.037164943658056004,0.0,0.0
1,541325,577325,0,95.5,1.5,93.0,98.0,2.0,1.8516401995451028,0.0,0.04149488754221215,0.03751447394081385,0.0,0.0
1,541325,577325,0,95.5,1.5,93.0,98.0,2.0,1.8516401995451028,0.0,0.04149488754221215,0.03751447394081385,0.0,0.0
1,550325,577325,0,95.14285714285714,1.2453996981544782,93.0,97.0,0.0,1.8257418583505538,0.0,0.04310584101723584,0.03984497899703895,0.0,0.0
1,576325,601325,0,93.9,1.374772708486752,93.0,97.0,3.0,0.8819171036881969,0.0,0.06281984211632467,0.047802556142317446,0.0,0.0
1,576325,609325,0,94.0,1.0540925533894598,93.0,97.0,3.0,0.7276068751089989,0.0,0.0752216206906877,0.05113058598507362,0.0,0.0
1,576325,617325,0,94.03846153846153,1.0183232534518252,93.0,97.0,1.0,0.8246211251235321,0.0,0.06849114149475191,0.04932170083507099,0.0,0.0
1,594325,625325,0,94.3125,1.1021995055342748,93.0,97.0,1.0,0.7828813612588127,0.0,0.06472711657028322,0.04730855129871328,0.0,0.0
1,594325,633325,0,94.0,1.3228756555322954,91.0,97.0,1.0,0.8623164985025763,0.0,0.0680855574610362,0.051116263742362965,0.0,0.0
1,597325,634325,0,94.07894736842105,1.3451976756981114,91.0,97.0,2.0,0.86991767240168,0.0,0.06528152332485555,0.04877736055427092,0.0,0.0
1,605325,649325,0,94.79411764705883,2.054828055848067,91.0,99.0,5.0,1.1415035273840826,0.0,0.0673141011652195,0.049166083939101386,0.0,0.0
1,613325,654325,0,95.54838709677419,2.394061331003803,91.0,99.0,5.0,1.1690451944500122,0.0,0.06490420236971021,0.04564462290411158,0.0,0.0
1,621325,663325,0,95.61538461538461,2.527950265408459,91.0,99.0,1.0,1.1832159566199232,0.0,0.06749748250171812,0.0471896947490162,0.0,0.0
1,629325,671325,0,95.72727272727273,2.6488731426060848,91.0,99.0,3.0,1.2909944487358056,0.0,0.05839165646555449,0.03354637287980592,0.0,0.0
1,646325,671325,0,96.75,2.165063509461097,93.0,99.0,5.0,0.9309493362512627,0.0,0.06177646004470673,0.037562021125749905,0.0,0.0
1,646325,671325,0,96.75,2.165063509461097,93.0,99.0,5.0,0.9309493362512627,0.0,0.06177646004470673,0.037562021125749905,0.0,0.0
1,653325,671325,0,95.22222222222223,1.6850834320114558,93.0,98.0,4.0,1.224744871391589,0.0,0.058359333209511685,0.03500800126244256,0.0,0.0
1,661325,671325,0,94.42857142857143,0.9035079029052513,93.0,96.0,2.0,1.1547005383792515,0.0,0.0677228927055142,0.034348321046784834,0.0,0.0
1,3109754,3112757,0,96.0,0.7071067811865476,95.0,97.0,2.0,0.816496580927726,0.0,0.0059240265387419475,0.0034519146153268072,0.0,0.0
1,3109754,3120745,0,96.0,0.9534625892455924,95.0,98.0,1.0,0.7071067811865476,0.0,0.040885324840272345,0.05538347787133439,0.0,0.0
1,3109754,3126745,0,96.88235294117646,1.4504503536397593,95.0,99.0,2.0,0.7905694150420949,0.0,0.03862167617719637,0.04944532104826716,0.0,0.0
1,3109754,3136745,0,97.20833333333333,1.3533651474093096,95.0,99.0,1.0,0.7518094115561123,0.0,0.030065678169285074,0.04380287539131816,0.0,0.0
1,3109754,3144745,0,97.40625,1.221151480161245,95.0,99.0,1.0,0.6475761258027333,0.0,0.025178209927476658,0.03901891780840084,0.0,0.0
